"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","32","Проверка создания задачи","chromium","Wed Jul 23 07:15:57 GMT 2025","passed","Wed Jul 23 07:15:57 GMT 2025","Challenge","api/challenges.spec.js","",""
"","0","Баг с увеличением количества товара определенного цвета","chromium","Wed Jul 23 07:16:29 GMT 2025","skipped","Wed Jul 23 07:16:29 GMT 2025","","ui/academybag.spec.js","",""
"","26","Проверка обновления задачи без обязательного атрибута title","chromium","Wed Jul 23 07:15:57 GMT 2025","passed","Wed Jul 23 07:15:57 GMT 2025","Challenge","api/challenges.spec.js","",""
"","4844","Баг с фильтрацией по цене","chromium","Wed Jul 23 07:16:29 GMT 2025","passed","Wed Jul 23 07:16:34 GMT 2025","","ui/academybag.spec.js","",""
"","4198","Баг с размером изображения в карточке товара","chromium","Wed Jul 23 07:15:58 GMT 2025","passed","Wed Jul 23 07:16:02 GMT 2025","","ui/academybag.spec.js","",""
"","27","Проверка создания задачи с невалидным doneStatus","chromium","Wed Jul 23 07:15:57 GMT 2025","passed","Wed Jul 23 07:15:57 GMT 2025","Challenge","api/challenges.spec.js","",""
"","27","Проверка получения несуществующей задачи по id","chromium","Wed Jul 23 07:15:57 GMT 2025","passed","Wed Jul 23 07:15:57 GMT 2025","Challenge","api/challenges.spec.js","",""
"","39","Проверка, что ответе возвращается 10 задач","chromium","Wed Jul 23 07:15:56 GMT 2025","passed","Wed Jul 23 07:15:56 GMT 2025","Challenge","api/challenges.spec.js","",""
"","26","Проверка создания заметки с невалидным токеном авторизации","chromium","Wed Jul 23 07:15:58 GMT 2025","passed","Wed Jul 23 07:15:58 GMT 2025","Challenge","api/challenges.spec.js","",""
"","27","Проверка частичного обновления атрибута title в задаче","chromium","Wed Jul 23 07:15:57 GMT 2025","passed","Wed Jul 23 07:15:57 GMT 2025","Challenge","api/challenges.spec.js","",""
"","28","Проверка фильтрации по id через query-параметры","chromium","Wed Jul 23 07:15:57 GMT 2025","passed","Wed Jul 23 07:15:57 GMT 2025","Challenge","api/challenges.spec.js","",""
"","25","Проверка удаления задачи по id","chromium","Wed Jul 23 07:15:57 GMT 2025","passed","Wed Jul 23 07:15:57 GMT 2025","Challenge","api/challenges.spec.js","",""
"","29","Проверка создания задачи с невалидным по длине description","chromium","Wed Jul 23 07:15:57 GMT 2025","passed","Wed Jul 23 07:15:57 GMT 2025","Challenge","api/challenges.spec.js","",""
"","39","Проверка фильтрации по статусу выполнения задачи через query-параметры","chromium","Wed Jul 23 07:15:57 GMT 2025","passed","Wed Jul 23 07:15:57 GMT 2025","Challenge","api/challenges.spec.js","",""
"","27","Проверка аутентификации с невалидным логином/паролем","chromium","Wed Jul 23 07:15:57 GMT 2025","passed","Wed Jul 23 07:15:57 GMT 2025","Challenge","api/challenges.spec.js","",""
"","27","Проверка создания задачи без атрибута title","chromium","Wed Jul 23 07:15:57 GMT 2025","passed","Wed Jul 23 07:15:57 GMT 2025","Challenge","api/challenges.spec.js","",""
"","29","Проверка создания задачи с несуществующим атрибутом","chromium","Wed Jul 23 07:15:57 GMT 2025","passed","Wed Jul 23 07:15:57 GMT 2025","Challenge","api/challenges.spec.js","",""
"","28","Проверка создания задачи с телом, превышающим 5000 символов","chromium","Wed Jul 23 07:15:57 GMT 2025","passed","Wed Jul 23 07:15:57 GMT 2025","Challenge","api/challenges.spec.js","",""
"","32","Проверка создания задачи с максимально допустимыми title и description","chromium","Wed Jul 23 07:15:57 GMT 2025","passed","Wed Jul 23 07:15:57 GMT 2025","Challenge","api/challenges.spec.js","",""
"","49","Проверка создания заметки","chromium","Wed Jul 23 07:15:57 GMT 2025","passed","Wed Jul 23 07:15:58 GMT 2025","Challenge","api/challenges.spec.js","",""
"","25","Проверка обращения к несуществующему эндпоинту DELETE /heartbeat","chromium","Wed Jul 23 07:15:57 GMT 2025","passed","Wed Jul 23 07:15:57 GMT 2025","Challenge","api/challenges.spec.js","",""
"","3710","Баг с некорректным описанием товара","chromium","Wed Jul 23 07:16:26 GMT 2025","passed","Wed Jul 23 07:16:29 GMT 2025","","ui/academybag.spec.js","",""
"","32","Проверка получения задачи по id","chromium","Wed Jul 23 07:15:57 GMT 2025","passed","Wed Jul 23 07:15:57 GMT 2025","Challenge","api/challenges.spec.js","",""
